iter	Passed	Remaining
633	68517	39554
634	68634	39451
635	68749	39346
636	68866	39244
637	68993	39146
638	69116	39047
639	69226	38940
640	69346	38838
641	69455	38730
642	69564	38622
643	69680	38518
644	69794	38413
645	69907	38308
646	70019	38202
647	70126	38093
648	70238	37987
649	70351	37881
650	70464	37775
651	70593	37678
652	70733	37587
653	70845	37480
654	70974	37383
655	71079	37273
656	71180	37161
657	71293	37055
658	71412	36952
659	71529	36848
660	71641	36742
661	71751	36634
662	71861	36526
663	71974	36420
664	72084	36313
665	72192	36204
666	72313	36102
667	72426	35996
668	72529	35885
669	72641	35778
670	72759	35674
671	72871	35568
672	72991	35465
673	73106	35360
674	73227	35257
675	73352	35157
676	73471	35053
677	73592	34950
678	73725	34854
679	73877	34765
680	74018	34672
681	74139	34569
682	74241	34457
683	74345	34346
684	74450	34236
685	74567	34131
686	74662	34016
687	74767	33906
688	74870	33795
689	74976	33685
690	75081	33574
691	75194	33468
692	75369	33388
693	75520	33298
694	75623	33187
695	75721	33073
696	75815	32958
697	75912	32844
698	76054	32750
699	76252	32679
700	76387	32581
701	76495	32472
702	76655	32384
703	76827	32302
704	76953	32200
705	77060	32090
706	77169	31981
707	77278	31871
708	77419	31775
709	77634	31709
710	77762	31608
711	77866	31496
712	77975	31387
713	78084	31277
714	78196	31169
715	78306	31060
716	78421	30952
717	78524	30841
718	78683	30751
719	78869	30671
720	78973	30559
721	79069	30445
722	79167	30331
723	79316	30236
724	79518	30162
725	79660	30064
726	79787	29961
727	79902	29853
728	80083	29770
729	80270	29689
730	80416	29592
731	80516	29478
732	80624	29367
733	80728	29255
734	80831	29143
735	80928	29028
736	81025	28914
737	81119	28798
738	81215	28683
739	81313	28569
740	81411	28455
741	81507	28340
742	81607	28227
743	81700	28112
744	81808	28001
745	81959	27905
746	82094	27804
747	82191	27690
748	82288	27576
749	82383	27461
750	82488	27349
751	82630	27250
752	82799	27159
753	82917	27052
754	83023	26941
755	83148	26836
756	83288	26735
757	83425	26634
758	83542	26526
759	83659	26418
760	83824	26325
761	84023	26243
762	84148	26137
763	84258	26027
764	84378	25920
765	84554	25829
766	84735	25740
767	84852	25632
768	84951	25518
769	85053	25405
770	85205	25307
771	85338	25203
772	85464	25097
773	85559	24982
774	85652	24866
775	85745	24751
776	85841	24636
777	85940	24522
778	86051	24412
779	86213	24316
780	86370	24219
781	86472	24106
782	86568	23991
783	86666	23877
784	86764	23763
785	86893	23658
786	87079	23567
787	87194	23458
788	87299	23346
789	87393	23231
790	87488	23116
791	87590	23003
792	87686	22889
793	87785	22775
794	87931	22674
795	88112	22581
796	88227	22472
797	88351	22364
798	88477	22257
799	88587	22146
800	88680	22031
801	88786	21919
802	88908	21811
803	89025	21702
804	89154	21596
805	89288	21491
806	89411	21383
807	89522	21272
808	89654	21166
809	89751	21052
810	89863	20942
811	89976	20832
812	90070	20717
813	90200	20610
814	90303	20498
815	90401	20384
816	90504	20272
817	90611	20160
818	90712	20047
819	90807	19933
820	90912	19821
821	91011	19708
822	91109	19594
823	91207	19481
824	91308	19368
825	91406	19255
826	91505	19141
827	91603	19028
828	91701	18915
829	91804	18803
830	91935	18696
831	92056	18588
832	92183	18480
833	92287	18369
834	92384	18255
835	92479	18141
836	92571	18027
837	92687	17918
838	92790	17805
839	92886	17692
840	92982	17579
841	93078	17465
842	93178	17353
843	93278	17241
844	93377	17128
845	93473	17015
846	93565	16901
847	93666	16789
848	93771	16677
849	93867	16564
850	93974	16453
851	94073	16341
852	94169	16228
853	94267	16116
854	94370	16004
855	94465	15891
856	94558	15778
857	94656	15665
858	94752	15553
859	94845	15439
860	94945	15327
861	95039	15215
862	95133	15102
863	95236	14990
864	95332	14878
865	95428	14766
866	95523	14653
867	95621	14541
868	95712	14428
869	95806	14315
870	95901	14203
871	95995	14091
872	96094	13979
873	96192	13867
874	96284	13754
875	96380	13642
876	96475	13530
877	96575	13419
878	96668	13307
879	96788	13198
880	96888	13087
881	96986	12975
882	97082	12863
883	97176	12751
884	97273	12640
885	97370	12528
886	97462	12416
887	97563	12305
888	97658	12193
889	97751	12081
890	97842	11969
891	97945	11858
892	98046	11747
893	98143	11636
894	98247	11526
895	98346	11415
896	98443	11303
897	98536	11192
898	98635	11081
899	98729	10969
900	98820	10858
901	98914	10746
902	99010	10635
903	99103	10524
904	99202	10413
905	99295	10302
906	99389	10190
907	99484	10079
908	99581	9969
909	99679	9858
910	99782	9748
911	99875	9637
912	99970	9526
913	100066	9415
914	100164	9304
915	100262	9194
916	100359	9083
917	100457	8973
918	100552	8862
919	100647	8751
920	100745	8641
921	100842	8531
922	100949	8421
923	101045	8311
924	101139	8200
925	101240	8090
926	101337	7980
927	101439	7870
928	101530	7759
929	101626	7649
930	101717	7538
931	101817	7428
932	101914	7318
933	102011	7208
934	102105	7098
935	102199	6988
936	102299	6878
937	102395	6768
938	102489	6658
939	102583	6547
940	102679	6437
941	102784	6328
942	102886	6218
943	102982	6109
944	103079	5999
945	103178	5889
946	103274	5779
947	103371	5670
948	103469	5560
949	103562	5450
950	103657	5340
951	103755	5231
952	103854	5121
953	103957	5012
954	104048	4902
955	104149	4793
956	104248	4684
957	104343	4574
958	104441	4465
959	104538	4355
960	104645	4246
961	104739	4137
962	104838	4028
963	104939	3918
964	105034	3809
965	105128	3700
966	105225	3590
967	105318	3481
968	105413	3372
969	105513	3263
970	105606	3154
971	105703	3044
972	105801	2935
973	105911	2827
974	106011	2718
975	106102	2609
976	106194	2499
977	106290	2390
978	106393	2282
979	106486	2173
980	106577	2064
981	106673	1955
982	106771	1846
983	106869	1737
984	106964	1628
985	107063	1520
986	107165	1411
987	107260	1302
988	107358	1194
989	107457	1085
990	107558	976
991	107658	868
992	107754	759
993	107851	651
994	107947	542
995	108046	433
996	108142	325
997	108235	216
998	108342	108
999	108448	0
